pixel_id,lat,lon,error_var,coef,std_err,pvalue,n_obs
26.4_-97.7,26.399999999999856,-97.7000000000005,wspd_error_1h,1.7271605341957463,0.42165305546399556,4.240151040790785e-05,8398
26.4_-97.7,26.399999999999856,-97.7000000000005,temp_error_0h,0.9032263026603068,0.36406956856222145,0.013124025826833474,8398
26.4_-97.7,26.399999999999856,-97.7000000000005,wspd_error_0h,1.165885233184594,0.4732369357480917,0.013773432283782583,8398
26.4_-97.8,26.399999999999856,-97.8000000000005,temp_error_1h,-0.05625178891080526,0.3477870820329762,0.8715129150557024,8398
26.4_-97.8,26.399999999999856,-97.8000000000005,wspd_error_1h,1.6019503029205806,0.43069559911389715,0.00020096555417747908,8398
26.4_-97.8,26.399999999999856,-97.8000000000005,temp_error_0h,0.9472816190737081,0.35192389548073383,0.0071225553050791035,8398
26.4_-97.8,26.399999999999856,-97.8000000000005,wspd_error_0h,0.8558469050699418,0.46998060542425124,0.06863864824025256,8398
26.4_-98.0,26.399999999999856,-98.00000000000048,temp_error_1h,-0.4782329909865406,0.3519442051539632,0.1742365586499972,8398
26.4_-98.0,26.399999999999856,-98.00000000000048,wspd_error_1h,1.5044550964567158,0.4297793151031336,0.000466757365579884,8398
26.4_-98.0,26.399999999999856,-98.00000000000048,temp_error_0h,0.9413909487282027,0.34032119070593014,0.00568411695005433,8398
26.4_-98.0,26.399999999999856,-98.00000000000048,wspd_error_0h,0.4206664954544175,0.4550154112227915,0.3552473182126994,8398
26.4_-98.2,26.399999999999856,-98.20000000000047,temp_error_1h,-0.5228369178710363,0.35216305199580655,0.13767575684341593,8398
26.4_-98.2,26.399999999999856,-98.20000000000047,wspd_error_1h,1.4340827783663188,0.4191596485272963,0.0006261452222067199,8398
26.4_-98.2,26.399999999999856,-98.20000000000047,temp_error_0h,0.6777909746822856,0.340594763927698,0.046621076469845146,8398
26.4_-98.2,26.399999999999856,-98.20000000000047,wspd_error_0h,0.45771411138451173,0.4531894453679325,0.3125321763473543,8398
26.4_-98.6,26.399999999999856,-98.60000000000045,temp_error_1h,-1.2133989974992891,0.3864424362994231,0.0016958202571191183,8398
26.4_-98.6,26.399999999999856,-98.60000000000045,wspd_error_1h,0.9906150218379406,0.4431761972964318,0.02542645245899111,8398
26.4_-98.6,26.399999999999856,-98.60000000000045,temp_error_0h,0.8741770857074241,0.3502110893648923,0.012574304178751605,8398
26.4_-98.6,26.399999999999856,-98.60000000000045,wspd_error_0h,0.4381885608396998,0.440426446215051,0.31980455734982205,8398
26.4_-98.7,26.399999999999856,-98.70000000000044,temp_error_1h,-1.4780298394372642,0.3784226709420189,9.466786938738814e-05,8398
26.4_-98.7,26.399999999999856,-98.70000000000044,wspd_error_1h,1.3888627982108426,0.4371214513591148,0.0014919815176359652,8398
26.4_-98.7,26.399999999999856,-98.70000000000044,temp_error_0h,1.0492548309024936,0.3499925176927926,0.002726152012319405,8398
26.4_-98.7,26.399999999999856,-98.70000000000044,wspd_error_0h,0.28783221836086187,0.4261391908586429,0.4994138121542335,8398
26.4_-98.8,26.399999999999856,-98.80000000000044,temp_error_1h,-1.3364254134100555,0.35937198522348185,0.0002014974247919188,8398
26.4_-98.8,26.399999999999856,-98.80000000000044,wspd_error_1h,1.785940510237401,0.4577010636595457,9.615777669402803e-05,8398
26.4_-98.8,26.399999999999856,-98.80000000000044,temp_error_0h,1.0624946831054944,0.3504971647622295,0.002441738500103652,8398
26.4_-98.8,26.399999999999856,-98.80000000000044,wspd_error_0h,0.3039332456053401,0.4166407968788641,0.4657254374718238,8398
26.4_-98.9,26.399999999999856,-98.90000000000043,temp_error_1h,-1.2004958589555836,0.35362409841804127,0.000689892110406154,8398
26.4_-98.9,26.399999999999856,-98.90000000000043,wspd_error_1h,2.268898133441871,0.43460594285131066,1.8264919399157975e-07,8398
26.4_-98.9,26.399999999999856,-98.90000000000043,temp_error_0h,0.8877552362959907,0.3514901097729631,0.011565446701643944,8398
26.4_-98.9,26.399999999999856,-98.90000000000043,wspd_error_0h,0.294149638892575,0.3989485793848244,0.46095324123083037,8398
26.5_-97.7,26.499999999999858,-97.7000000000005,temp_error_1h,-0.24265568401555698,0.3550054248145183,0.49429304150175546,8398
26.5_-97.7,26.499999999999858,-97.7000000000005,wspd_error_1h,1.6071544548790515,0.41123933102943216,9.376866536814354e-05,8398
26.5_-97.7,26.499999999999858,-97.7000000000005,temp_error_0h,0.8698053897975312,0.3567666875195152,0.014788532045305391,8398
26.5_-97.7,26.499999999999858,-97.7000000000005,wspd_error_0h,1.196531156666473,0.4579108275637267,0.008990623267052245,8398
26.5_-98.1,26.499999999999858,-98.10000000000048,temp_error_1h,-0.5798926479022734,0.3412742582543968,0.08931904440879523,8398
26.5_-98.1,26.499999999999858,-98.10000000000048,wspd_error_1h,1.0861413433602198,0.40967309843705807,0.008034833900236293,8398
26.5_-98.1,26.499999999999858,-98.10000000000048,temp_error_0h,0.840631213488616,0.329774673725537,0.010817604232856937,8398
26.5_-98.1,26.499999999999858,-98.10000000000048,wspd_error_0h,0.6669503724290151,0.4377438768215688,0.12764433511443052,8398
26.5_-98.2,26.499999999999858,-98.20000000000047,temp_error_1h,-0.3528781996575071,0.3361582335023306,0.2938687714531547,8398
26.5_-98.2,26.499999999999858,-98.20000000000047,wspd_error_1h,1.5324159808371205,0.4076980979297824,0.00017196036051347896,8398
26.5_-98.2,26.499999999999858,-98.20000000000047,temp_error_0h,0.7091276255575525,0.3266139193770682,0.02994792921111289,8398
26.5_-98.2,26.499999999999858,-98.20000000000047,wspd_error_0h,0.5153132097805875,0.4295396171607267,0.23029483405115148,8398
26.5_-98.4,26.499999999999858,-98.40000000000046,temp_error_1h,-0.9723492245904365,0.3702056855995243,0.008642264847432024,8398
26.5_-98.4,26.499999999999858,-98.40000000000046,wspd_error_1h,1.608186084229165,0.42753401707018196,0.0001700247029621238,8398
26.5_-98.4,26.499999999999858,-98.40000000000046,temp_error_0h,0.7194475865230018,0.3333393627808226,0.030932617647416727,8398
26.5_-98.4,26.499999999999858,-98.40000000000046,wspd_error_0h,0.5721912399363736,0.4312660072566066,0.18462069554911675,8398
26.5_-98.5,26.499999999999858,-98.50000000000045,temp_error_1h,-1.108504999644492,0.37290178975475846,0.002960868591529442,8398
26.5_-98.5,26.499999999999858,-98.50000000000045,wspd_error_1h,1.4885219874069342,0.4306977329600708,0.0005508367192903485,8398
26.5_-98.5,26.499999999999858,-98.50000000000045,temp_error_0h,0.7519568155593096,0.3328802720444133,0.023912733769154038,8398
26.5_-98.5,26.499999999999858,-98.50000000000045,wspd_error_0h,0.541798796620788,0.4232483016054706,0.20054662949591595,8398
26.5_-98.7,26.499999999999858,-98.70000000000044,temp_error_1h,-1.6665535285621411,0.38451950192585027,1.4805845593102163e-05,8398
26.5_-98.7,26.499999999999858,-98.70000000000044,wspd_error_1h,1.2607904841903597,0.4453514296631698,0.004651336509894799,8398
26.5_-98.7,26.499999999999858,-98.70000000000044,temp_error_0h,1.1366386912670252,0.34333764302372305,0.0009350524098379331,8398
26.5_-98.7,26.499999999999858,-98.70000000000044,wspd_error_0h,0.4481882189397394,0.4176674843894725,0.28326879526424675,8398
26.5_-98.8,26.499999999999858,-98.80000000000044,temp_error_1h,-1.6572358745982174,0.36771872944032874,6.670719493007127e-06,8398
26.5_-98.8,26.499999999999858,-98.80000000000044,wspd_error_1h,1.2359735654803305,0.4342462757451233,0.004434515496744229,8398
26.5_-98.8,26.499999999999858,-98.80000000000044,temp_error_0h,1.191306693737507,0.3437670589223197,0.0005320093110237067,8398
26.5_-98.8,26.499999999999858,-98.80000000000044,wspd_error_0h,0.4843148264619485,0.40802926545946056,0.23527674586297143,8398
26.5_-98.9,26.499999999999858,-98.90000000000043,temp_error_1h,-1.3831961820282044,0.3540917624748191,9.445051842771335e-05,8398
26.5_-98.9,26.499999999999858,-98.90000000000043,wspd_error_1h,2.668389388574162,0.42127096008543624,2.5099966549646524e-10,8398
26.5_-98.9,26.499999999999858,-98.90000000000043,temp_error_0h,1.0050537803419362,0.34446139073039156,0.0035350133176701437,8398
26.5_-98.9,26.499999999999858,-98.90000000000043,wspd_error_0h,0.2351776798146403,0.3872365129184469,0.5436530131768647,8398
26.5_-99.0,26.499999999999858,-99.00000000000043,temp_error_1h,-1.4973353601934194,0.36439944866194324,4.0108599643318144e-05,8398
26.5_-99.0,26.499999999999858,-99.00000000000043,wspd_error_1h,2.1361848347786627,0.42975263490600785,6.802674437089706e-07,8398
